Country;Acronym;Zone;Language;EX-USSR;EU;Government
Albania;ALB;5;8;0;0;1
Armenia;ARM;7;6;1;0;1
Australia;AUS;7;3;0;0;0
Austria;AUT;2;3;0;1;1
Azerbaijan;AZE;7;8;1;0;1
Belarus;BLR;6;2;1;0;1
Belgium;BEL;3;3;0;1;0
Croatia;HRV;2;2;0;1;1
Cyprus;CYP;5;6;0;1;1
Czech Republic;CZE;2;2;0;1;1
Denmark;DNK;4;3;0;1;0
Estonia;EST;2;4;1;1;1
Finland;FIN;4;4;0;1;1
France;FRA;3;1;0;1;1
Georgia;GEO;7;8;1;0;1
Germany;DEU;2;3;0;1;1
Greece;GRC;5;6;0;1;1
Hungary;HUN;2;5;0;1;1
Iceland;ISL;4;3;0;0;1
Ireland;IRL;3;3;0;1;1
Israel;ISR;7;7;0;0;1
Italy;ITA;1;1;0;1;1
Latvia;LVA;2;5;1;1;1
Lithuania;LTU;2;5;1;1;1
Malta;MLT;1;7;0;1;1
Moldova;MDA;5;1;1;0;1
Montenegro;MNE;5;2;0;0;1
North Macedonia;MKD;5;2;0;0;1
Norway;NOR;4;3;0;0;0
Poland;POL;2;2;0;1;1
Portugal;PRT;1;1;0;1;1
Romania;ROU;5;1;0;1;1
Russia;RUS;6;2;1;0;1
San Marino;SMR;1;1;0;0;1
Serbia;SRB;5;2;0;0;1
Slovenia;SVN;2;2;0;1;1
Spain;ESP;1;1;0;1;0
Sweden;SWE;4;3;0;1;0
Switzerland;CHE;2;3;0;0;1
The Netherlands;NLD;3;3;0;1;0
United Kingdom;GBR;3;3;0;1;0
